ชื่อเต็ม (ตามประกาศ),คณะ,มหาวิทยาลัย,สาขา,ภูมิภาค,ประเภท,สูงสุด,ต่ำสุด,เฉลี่ย
คณะทันตแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,ทันตแพทยศาสตร์,มหาวิทยาลัยเชียงใหม่,ปกติ,เหนือ,รัฐบาล,75.3855,67.3915,69.1096
คณะทันตแพทยศาสตร์ มหาวิทยาลัยสงขลานครินทร์,ทันตแพทยศาสตร์,มหาวิทยาลัยสงขลานครินทร์,ปกติ,ใต้,รัฐบาล,69.2338,65.6568,66.4529
คณะทันตแพทยศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ,ทันตแพทยศาสตร์,มหาวิทยาลัยศรีนครินทรวิโรฒ,ปกติ,กลางและ กทม.,รัฐบาล,69.7356,67.5785,68.2312
คณะทันตแพทยศาสตร์ มหาวิทยาลัยขอนแก่น,ทันตแพทยศาสตร์,มหาวิทยาลัยขอนแก่น,ปกติ,ตะวันออกเฉียงเหนือ,รัฐบาล,69.6365,66.8186,67.6073
คณะทันตแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์,ทันตแพทยศาสตร์,มหาวิทยาลัยธรรมศาสตร์,ปกติ,กลางและ กทม.,รัฐบาล,73.7485,68.9169,69.6256
คณะทันตแพทยศาสตร์ มหาวิทยาลัยนเรศวร,ทันตแพทยศาสตร์,มหาวิทยาลัยนเรศวร,ปกติ,เหนือ,รัฐบาล,66.6871,64.052,65.0598
สำนักวิชาทันตแพทยศาสตร์ มหาวิทยาลัยเทคโนโลยีสุรนารี,ทันตแพทยศาสตร์,มหาวิทยาลัยเทคโนโลยีสุรนารี,ปกติ,ตะวันออกเฉียงเหนือ,รัฐบาล,64.551,61.8965,62.6655
คณะทันตแพทยศาสตร์ มหาวิทยาลัยเนชั่น (สถาบันเอกชน),ทันตแพทยศาสตร์,มหาวิทยาลัยเนชั่น,ปกติ,เหนือ,เอกชน,-,-,-
คณะทันตแพทยศาสตร์ มหาวิทยาลัยเวสเทิร์น (สถาบันเอกชน),ทันตแพทยศาสตร์,มหาวิทยาลัยเวสเทิร์น,ปกติ,กลางและ กทม.,เอกชน,-,-,-
วิทยาลัยทันตแพทยศาสตร์ มหาวิทยาลัยรังสิต (สถาบันเอกชน),ทันตแพทยศาสตร์,มหาวิทยาลัยรังสิต,ปกติ,กลางและ กทม.,เอกชน,60.568,47.7851,53.2289
คณะทันตแพทยศาสตร์ มหาวิทยาลัยกรุงเทพธนบุรี (สถาบันเอกชน),ทันตแพทยศาสตร์,มหาวิทยาลัยกรุงเทพธนบุรี,ปกติ,กลางและ กทม.,เอกชน,53.3064,53.3064,53.3064
คณะทันตแพทยศาสตร์ มหาวิทยาลัยสยาม (สถาบันเอกชน),ทันตแพทยศาสตร์,มหาวิทยาลัยสยาม,ปกติ,กลางและ กทม.,เอกชน,52.615,48.5195,46.4373
สำนักวิชาทันตแพทยศาสตร์ มหาวิทยาลัยแม่ฟ้าหลวง,ทันตแพทยศาสตร์,มหาวิทยาลัยแม่ฟ้าหลวง,ปกติ,เหนือ,รัฐบาล,65.6339,62.2868,63.3342
คณะสัตวแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,สัตวแพทยศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,ปกติ,กลางและ กทม.,รัฐบาล,77.9769,61.056,63.0681
คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,สัตวแพทยศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,ปกติ,กลางและ กทม.,รัฐบาล,68.4178,60.2242,61.7804
คณะสัตวแพทยศาสตร์ มหาวิทยาลัยขอนแก่น,สัตวแพทยศาสตร์,มหาวิทยาลัยขอนแก่น,ปกติ,ตะวันออกเฉียงเหนือ,รัฐบาล,59.032,58.1057,58.4842
คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,สัตวแพทยศาสตร์,มหาวิทยาลัยเชียงใหม่,ปกติ,เหนือ,รัฐบาล,62.677,59.0096,60.4711
คณะสัตวแพทยศาสตร์ มหาวิทยาลัยมหิดล,สัตวแพทยศาสตร์,มหาวิทยาลัยมหิดล,ปกติ,กลางและ กทม.,รัฐบาล,63.3512,59.059,60.1055
คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเทคโนโลยีมหานคร (สถาบันเอกชน),สัตวแพทยศาสตร์,มหาวิทยาลัยเทคโนโลยีมหานคร,ปกติ,กลางและ กทม.,เอกชน,56.6037,50.2193,53.4047
คณะสัตวแพทยศาสตร์ มหาวิทยาลัยมหาสารคาม,สัตวแพทยศาสตร์,มหาวิทยาลัยมหาสารคาม,ปกติ,ตะวันออกเฉียงเหนือ,รัฐบาล,57.527,55.7829,56.4404
คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,สัตวแพทยศาสตร์,มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,ปกติ,ตะวันออก,รัฐบาล,56.0825,52.9189,54.2361
